Centígrados,Farenheit
0,32.00
1,33.80
2,35.60
3,37.40
4,39.20
5,41.00
6,42.80
7,44.60
8,46.40
9,48.20
10,50.00
11,51.80
12,53.60
13,55.40
14,57.20
15,59.00
16,60.80
17,62.60
18,64.40
19,66.20
20,68.00
21,69.80
22,71.60
23,73.40
24,75.20
25,77.00
26,78.80
27,80.60
28,82.40
29,84.20
30,86.00
31,87.80
32,89.60
33,91.40
34,93.20
35,95.00
36,96.80
37,98.60
38,100.40
39,102.20
40,104.00
41,105.80
42,107.60
43,109.40
44,111.20
45,113.00
46,114.80
47,116.60
48,118.40
49,120.20
50,122.00
51,123.80
52,125.60
53,127.40
54,129.20
55,131.00
56,132.80
57,134.60
58,136.40
59,138.20
60,140.00
61,141.80
62,143.60
63,145.40
64,147.20
65,149.00
66,150.80
67,152.60
68,154.40
69,156.20
70,158.00
71,159.80
72,161.60
73,163.40
74,165.20
75,167.00
76,168.80
77,170.60
78,172.40
79,174.20
80,176.00
81,177.80
82,179.60
83,181.40
84,183.20
85,185.00
86,186.80
87,188.60
88,190.40
89,192.20
90,194.00
91,195.80
92,197.60
93,199.40
94,201.20
95,203.00
96,204.80
97,206.60
98,208.40
99,210.20
100,212.00
101,213.80
102,215.60
103,217.40
104,219.20
105,221.00
106,222.80
107,224.60
108,226.40
109,228.20
110,230.00
111,231.80
112,233.60
113,235.40
114,237.20
115,239.00
116,240.80
117,242.60
118,244.40
119,246.20
120,248.00
121,249.80
122,251.60
123,253.40
124,255.20
125,257.00
126,258.80
127,260.60
128,262.40
129,264.20
130,266.00
131,267.80
132,269.60
133,271.40
134,273.20
135,275.00
136,276.80
137,278.60
138,280.40
139,282.20
140,284.00
141,285.80
142,287.60
143,289.40
144,291.20
145,293.00
146,294.80
147,296.60
148,298.40
149,300.20
150,302.00
151,303.80
152,305.60
153,307.40
154,309.20
155,311.00
156,312.80
157,314.60
158,316.40
159,318.20
160,320.00
161,321.80
162,323.60
163,325.40
164,327.20
165,329.00
166,330.80
167,332.60
168,334.40
169,336.20
170,338.00
171,339.80
172,341.60
173,343.40
174,345.20
175,347.00
176,348.80
177,350.60
178,352.40
179,354.20
180,356.00
181,357.80
182,359.60
183,361.40
184,363.20
185,365.00
186,366.80
187,368.60
188,370.40
189,372.20
190,374.00
191,375.80
192,377.60
193,379.40
194,381.20
195,383.00
196,384.80
197,386.60
198,388.40
199,390.20
200,392.00
201,393.80
202,395.60
203,397.40
204,399.20
205,401.00
206,402.80
207,404.60
208,406.40
209,408.20
210,410.00
211,411.80
212,413.60
213,415.40
214,417.20
215,419.00
216,420.80
217,422.60
218,424.40
219,426.20
220,428.00
221,429.80
222,431.60
223,433.40
224,435.20
225,437.00
226,438.80
227,440.60
228,442.40
229,444.20
230,446.00
231,447.80
232,449.60
233,451.40
234,453.20
235,455.00
236,456.80
237,458.60
238,460.40
239,462.20
240,464.00
241,465.80
242,467.60
243,469.40
244,471.20
245,473.00
246,474.80
247,476.60
248,478.40
249,480.20
250,482.00
251,483.80
252,485.60
253,487.40
254,489.20
255,491.00
256,492.80
257,494.60
258,496.40
259,498.20
260,500.00
261,501.80
262,503.60
263,505.40
264,507.20
265,509.00
266,510.80
267,512.60
268,514.40
269,516.20
270,518.00
271,519.80
272,521.60
273,523.40
274,525.20
275,527.00
276,528.80
277,530.60
278,532.40
279,534.20
280,536.00
281,537.80
282,539.60
283,541.40
284,543.20
285,545.00
286,546.80
287,548.60
288,550.40
289,552.20
290,554.00
291,555.80
292,557.60
293,559.40
294,561.20
295,563.00
296,564.80
297,566.60
298,568.40
299,570.20
300,572.00
301,573.80
302,575.60
303,577.40
304,579.20
305,581.00
306,582.80
307,584.60
308,586.40
309,588.20
310,590.00
311,591.80
312,593.60
313,595.40
314,597.20
315,599.00
316,600.80
317,602.60
318,604.40
319,606.20
320,608.00
321,609.80
322,611.60
323,613.40
324,615.20
325,617.00
326,618.80
327,620.60
328,622.40
329,624.20
330,626.00
331,627.80
332,629.60
333,631.40
334,633.20
335,635.00
336,636.80
337,638.60
338,640.40
339,642.20
340,644.00
341,645.80
342,647.60
343,649.40
344,651.20
345,653.00
346,654.80
347,656.60
348,658.40
349,660.20
350,662.00
351,663.80
352,665.60
353,667.40
354,669.20
355,671.00
356,672.80
357,674.60
358,676.40
359,678.20
360,680.00
361,681.80
362,683.60
363,685.40
364,687.20
365,689.00
366,690.80
367,692.60
368,694.40
369,696.20
370,698.00
371,699.80
372,701.60
373,703.40
374,705.20
375,707.00
376,708.80
377,710.60
378,712.40
379,714.20
380,716.00
381,717.80
382,719.60
383,721.40
384,723.20
385,725.00
386,726.80
387,728.60
388,730.40
389,732.20
390,734.00
391,735.80
392,737.60
393,739.40
394,741.20
395,743.00
396,744.80
397,746.60
398,748.40
399,750.20
400,752.00
401,753.80
402,755.60
403,757.40
404,759.20
405,761.00
406,762.80
407,764.60
408,766.40
409,768.20
410,770.00
411,771.80
412,773.60
413,775.40
414,777.20
415,779.00
416,780.80
417,782.60
418,784.40
419,786.20
420,788.00
421,789.80
422,791.60
423,793.40
424,795.20
425,797.00
426,798.80
427,800.60
428,802.40
429,804.20
430,806.00
431,807.80
432,809.60
433,811.40
434,813.20
435,815.00
436,816.80
437,818.60
438,820.40
439,822.20
440,824.00
441,825.80
442,827.60
443,829.40
444,831.20
445,833.00
446,834.80
447,836.60
448,838.40
449,840.20
450,842.00
451,843.80
452,845.60
453,847.40
454,849.20
455,851.00
456,852.80
457,854.60
458,856.40
459,858.20
460,860.00
461,861.80
462,863.60
463,865.40
464,867.20
465,869.00
466,870.80
467,872.60
468,874.40
469,876.20
470,878.00
471,879.80
472,881.60
473,883.40
474,885.20
475,887.00
476,888.80
477,890.60
478,892.40
479,894.20
480,896.00
481,897.80
482,899.60
483,901.40
484,903.20
485,905.00
486,906.80
487,908.60
488,910.40
489,912.20
490,914.00
491,915.80
492,917.60
493,919.40
494,921.20
495,923.00
496,924.80
497,926.60
498,928.40
499,930.20
500,932.00
501,933.80
502,935.60
503,937.40
504,939.20
505,941.00
506,942.80
507,944.60
508,946.40
509,948.20
510,950.00
511,951.80
512,953.60
513,955.40
514,957.20
515,959.00
516,960.80
517,962.60
518,964.40
519,966.20
520,968.00
521,969.80
522,971.60
523,973.40
524,975.20
525,977.00
526,978.80
527,980.60
528,982.40
529,984.20
530,986.00
531,987.80
